Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
17-05-2020,,,,,
18-05-2020,36.26303482,40.85203207,35.61459216,40.85203207,3958069
19-05-2020,37.26063919,38.8568135,36.11139871,36.91147808,1436805
20-05-2020,37.06111908,38.75704874,36.26303006,36.31291348,1300998
21-05-2020,36.56231308,38.85680936,35.91386674,37.06111678,2008622
22-05-2020,36.61219788,37.65968504,34.31171511,35.91387183,2446708
23-05-2020,,,,,
24-05-2020,,,,,
25-05-2020,,,,,
26-05-2020,35.71435165,38.70717448,35.71435165,38.70717448,2911348
27-05-2020,34.91626358,37.95896579,34.11817832,35.91387111,3741323
28-05-2020,35.61458969,37.46016211,34.41745989,35.26542477,2786271
29-05-2020,33.91865921,36.56232094,33.4198554,35.21554836,18601024
30-05-2020,,,,,
31-05-2020,,,,,
01-06-2020,38.30813217,38.50765064,35.26343192,35.51482793,3165738
02-06-2020,44.24389648,44.24389648,37.85920999,38.75705457,4004874
03-06-2020,46.93743896,50.77823068,42.08707108,44.89234405,5001973
04-06-2020,48.38396454,48.98153047,46.83767365,46.88755326,2444440
05-06-2020,53.07272339,53.97056792,48.53360971,48.88277084,3954981
06-06-2020,,,,,
07-06-2020,,,,,
08-06-2020,55.86601639,61.35285728,51.89853043,52.57391261,3743902
09-06-2020,53.17248154,59.75669364,52.57391853,57.86123777,3094696
10-06-2020,54.76865768,56.26506905,51.56234622,51.6760719,1520113
11-06-2020,52.17486191,54.46935798,49.44241705,53.37199145,2203951
12-06-2020,56.16530991,56.76387678,49.38157865,50.67846783,2224741
13-06-2020,,,,,
14-06-2020,,,,,
15-06-2020,57.36243057,57.76147509,51.5713188,53.57152288,2245885
16-06-2020,60.85406113,61.75190945,56.86363089,58.85884601,2043675
17-06-2020,64.64496613,64.84448457,61.85166221,62.35046593,7883095
18-06-2020,63.04879379,64.8444865,62.54999005,64.64496805,2457835
19-06-2020,67.63779449,69.03443897,62.05118997,62.84927524,23987277
20-06-2020,,,,,
21-06-2020,,,,,
22-06-2020,66.83970642,68.24034676,63.04879846,64.44544676,4625668
23-06-2020,66.54042053,68.1365987,65.08791027,68.1365987,2244659
24-06-2020,63.84688187,66.34090069,62.74951511,65.24353393,1856710
25-06-2020,59.45741272,64.54521007,56.96339367,64.54521007,3320847
26-06-2020,60.65453339,62.74951136,57.56195175,57.76147401,2449746
27-06-2020,,,,,
28-06-2020,,,,,
29-06-2020,62.3504715,63.10965242,56.26207202,59.85645264,1776803
30-06-2020,62.3504715,62.84927527,60.55477868,62.84927527,1095925
01-07-2020,61.85166168,62.37839829,60.45500973,62.35046541,911609
02-07-2020,61.88160706,62.38065227,57.68962646,62.38065227,1073556
03-07-2020,62.38065338,62.41958037,59.98523477,60.8835177,1083110
04-07-2020,,,,,
05-07-2020,,,,,
06-07-2020,62.5802803,63.47855954,60.58409914,63.47855954,1029067
07-07-2020,60.68389511,63.27893242,60.68389511,61.58217799,576695
08-07-2020,60.1848526,62.38065232,60.08504508,60.08504508,662961
